LBTEST,LBTESTCD,LBSPEC
Neutrophil granulo mature,BM06,Neutrophil granulo mature
Erythro/Granulopoiesis,BM21,Erythro/Granulopoiesis
TFER,TFER,PLASMA
Inorganic phosphate quantitative urine,U_P,URINE
BNIT-STIX,BNIT,URINE
Glycolithocholic acid,GLCA,PLASMA
Ursodeoxycholic acid,UDCA,PLASMA
Taurochenodeoxycholic acid,TCDCA,PLASMA
Promyelocytes/Leukocytes,PROMYLE,WHOLE BLOOD
LDL-RD,LDL-RD,Research
ImFun21,IMFUN21,WHOLE BLOOD
ImFun02,IMFUN02,WHOLE BLOOD
Hemoglobin A1c standardized,HBA1C_C,PLASMA
LDH Urine,U-LDH,URINE
NAG*UVOL,UNAG-UVO,URINE
Hyaline Casts,CSHYAL,URINE
Phosphate,PHOS,PLASMA
WBC Casts,CSWBC,URINE
Hyperchromia,HYPERCHR,PLASMA
Urea,UREA,PLASMA
Monocytes,MONO,PLASMA
Eosinophils,EOS,PLASMA
Albumin,ALB,PLASMA
Creatine Kinase,CK,SERUM
Ery. Mean Corpuscular Hemoglobin,MCH,WHOLE BLOOD
Ery. Mean Corpuscular Volume,MCV,WHOLE BLOOD
Polychromasia,POLYCHR,PLASMA
MICROC-M,MICROC-M,PLASMA
Phosphate,PHOS,Serum Cat
UDP-Glucuronyltransferase,UGT,Liver Bio Chemie
Hemoglobin,HGB,URINE
Urea Nitrogen,UREAN,PLASMA
Alpha Globulin,GLOBA,SERUM
Carnitine Acetyl Transferase,CARNITAT,LIVER
PLIP-Lav.,LAV-PLIP,LUNG
MET-HB,MET-HB,PLASMA
Hypochromia,HPOCROM,WHOLE BLOOD
Cholesterol,CHOL,WHOLE BLOOD
"Lymphocytes Atypical, Reactive",ATYP,WHOLE BLOOD
Alanine Aminotransferase,ALT,WHOLE BLOOD
Calcium,CA,Serum Rabbit
Lymphocytes,LYM,Blood smears
MICROC-M,MICROC-M,Blood smears
Nucleated Erythrocytes,RBCNUC,Blood smears
AGQ/Ra,AGQ/RA,PLASMA
LDL-RD,LDL-RD,SERUM
LyTyp34,LYTYP34,WHOLE BLOOD
LyTyp27,LYTYP27,WHOLE BLOOD
LyTyp01,LYTYP01,WHOLE BLOOD
Erythropoiesis mature,BM03,Erythropoiesis mature
Megakaryocytes,BM14,Megakaryocytes
"Glutathione S-Transferase, Total",GST,Glutathione-S-Transferase
7-Ethoxycoumarin deethylase,ECOD,7-Ethoxycoumarin Deethylase
Lymphocytes Atypical,LYMAT,WHOLE BLOOD
LACTAT,LACT-VB,PCA/TCA
Phosphate Crystals,CYPHOS,URINE
HDL-RD,HDL-RD,PLASMA
Taurolithocholic acid,TLCA,PLASMA
Complement hemolytic activity,CH50,SERUM
Metamyelocytes/Leukocytes,METAMYLE,WHOLE BLOOD
K*VOL-BW,U-K-KVOL,URINE
